job_id,job_title,industry,required_education,required_degree_field,years_of_experience,hard_skills,soft_skills,hard_skills_normalized,soft_skills_normalized,all_skills
11,Cybersecurity Analyst,Technology,Bachelor,Computing,2,"['Network Security', 'Ethical Hacking', 'SIEM', 'Incident Response', 'Vulnerability Assessment and Penetration Testing (VAPT)', 'Digital Forensics', 'Malware Analysis', 'Cryptography', 'Firewall configuration', 'Intrusion Detection/Prevention Systems (IDS/IPS)', 'Security Information and Event Management (Splunk, ArcSight)', 'Cloud Security tools', 'Compliance frameworks (NIST, ISO 27001)', 'Scripting (Python, PowerShell)']","['Attention to Detail', 'Problem-Solving']","['network security', 'ethical hacking', 'siem', 'incident response', 'vulnerability assessment and penetration testing (vapt)', 'digital forensics', 'malware analysis', 'cryptography', 'firewall configuration', 'intrusion detection/prevention systems (ids/ips)', 'security information and event management (splunk, arcsight)', 'cloud security tools', 'compliance frameworks (nist, iso 27001)', 'scripting (python, powershell)']","['attention to detail', 'problem-solving']","['network security', 'ethical hacking', 'siem', 'incident response', 'vulnerability assessment and penetration testing (vapt)', 'digital forensics', 'malware analysis', 'cryptography', 'firewall configuration', 'intrusion detection/prevention systems (ids/ips)', 'security information and event management (splunk, arcsight)', 'cloud security tools', 'compliance frameworks (nist, iso 27001)', 'scripting (python, powershell)', 'attention to detail', 'problem-solving']"
12,AI Researcher,Science and Research,Master,Computing,3,"['Python', 'Deep Learning', 'Natural Language Processing', 'PyTorch', 'TensorFlow', 'Keras', 'Reinforcement Learning', 'Computer Vision', 'Speech Recognition', 'Generative Models', 'Statistical modeling', 'Mathematical optimization', 'Research methodologies', 'C++/Java (for performance-critical implementations)']","['Innovation', 'Critical Thinking']","['python', 'deep learning', 'natural language processing', 'pytorch', 'tensorflow', 'keras', 'reinforcement learning', 'computer vision', 'speech recognition', 'generative models', 'statistical modeling', 'mathematical optimization', 'research methodologies', 'c++/java (for performance-critical implementations)']","['innovation', 'critical thinking']","['python', 'deep learning', 'natural language processing', 'pytorch', 'tensorflow', 'keras', 'reinforcement learning', 'computer vision', 'speech recognition', 'generative models', 'statistical modeling', 'mathematical optimization', 'research methodologies', 'c++/java (for performance-critical implementations)', 'innovation', 'critical thinking']"
13,Blockchain Developer,Emerging Technologies,Bachelor,Computing,2,"['Solidity', 'Smart Contracts', 'Ethereum', 'Web3.js', 'Ethers.js', 'Truffle', 'Hardhat', 'IPFS', 'Dapp development', 'Cryptography', 'Decentralized finance (DeFi) protocols', 'Node.js', 'Go/Rust (for some blockchain platforms)', 'Consensus mechanisms', 'Security auditing of smart contracts']","['Problem-Solving', 'Collaboration']","['solidity', 'smart contracts', 'ethereum', 'web3.js', 'ethers.js', 'truffle', 'hardhat', 'ipfs', 'dapp development', 'cryptography', 'decentralized finance (defi) protocols', 'node.js', 'go/rust (for some blockchain platforms)', 'consensus mechanisms', 'security auditing of smart contracts']","['problem-solving', 'collaboration']","['solidity', 'smart contracts', 'ethereum', 'web3.js', 'ethers.js', 'truffle', 'hardhat', 'ipfs', 'dapp development', 'cryptography', 'decentralized finance (defi) protocols', 'node.js', 'go/rust (for some blockchain platforms)', 'consensus mechanisms', 'security auditing of smart contracts', 'problem-solving', 'collaboration']"
14,Web Developer,Technology,Bachelor,Computing,1,"['HTML/CSS', 'JavaScript', 'PHP', 'React/Angular/Vue.js (for frontend)', 'Node.js/Python (Django/Flask)/Ruby on Rails (for backend)', 'RESTful APIs', 'Database management (SQL/NoSQL)', 'Version control (Git)', 'Responsive Design', 'Webpack/Babel', 'Testing frameworks (Jest, React Testing Library)', 'Cloud deployment (Netlify, Vercel, Heroku)']","['Creativity', 'Adaptability']","['html/css', 'javascript', 'php', 'react/angular/vue.js (for frontend)', 'node.js/python (django/flask)/ruby on rails (for backend)', 'restful apis', 'database management (sql/nosql)', 'version control (git)', 'responsive design', 'webpack/babel', 'testing frameworks (jest, react testing library)', 'cloud deployment (netlify, vercel, heroku)']","['creativity', 'adaptability']","['html/css', 'javascript', 'php', 'react/angular/vue.js (for frontend)', 'node.js/python (django/flask)/ruby on rails (for backend)', 'restful apis', 'database management (sql/nosql)', 'version control (git)', 'responsive design', 'webpack/babel', 'testing frameworks (jest, react testing library)', 'cloud deployment (netlify, vercel, heroku)', 'creativity', 'adaptability']"
15,Game Developer,Arts and Media,Bachelor,Computing,2,"['Unity', 'C#', '3D Modeling', 'Unreal Engine (C++)', 'Game Physics', 'AI for games', 'Shaders', 'Animation', 'Level Design', 'Version Control (Perforce, Git)', 'Networking for multiplayer games', 'Optimization techniques', 'Asset pipeline management', 'Mobile game development']","['Creativity', 'Teamwork']","['unity', 'c#', '3d modeling', 'unreal engine (c++)', 'game physics', 'ai for games', 'shaders', 'animation', 'level design', 'version control (perforce, git)', 'networking for multiplayer games', 'optimization techniques', 'asset pipeline management', 'mobile game development']","['creativity', 'teamwork']","['unity', 'c#', '3d modeling', 'unreal engine (c++)', 'game physics', 'ai for games', 'shaders', 'animation', 'level design', 'version control (perforce, git)', 'networking for multiplayer games', 'optimization techniques', 'asset pipeline management', 'mobile game development', 'creativity', 'teamwork']"
16,UX Designer,Technology,Bachelor,Design,2,"['Figma', 'User Research', 'Wireframing', 'Sketch', 'Adobe XD', 'InVision', 'Prototyping tools', 'Usability Testing', 'Information Architecture', 'Interaction Design', 'A/B testing', 'Heatmap analysis', 'Accessibility standards (WCAG)', 'Design Systems']","['Empathy', 'Communication']","['figma', 'user research', 'wireframing', 'sketch', 'adobe xd', 'invision', 'prototyping tools', 'usability testing', 'information architecture', 'interaction design', 'a/b testing', 'heatmap analysis', 'accessibility standards (wcag)', 'design systems']","['empathy', 'communication']","['figma', 'user research', 'wireframing', 'sketch', 'adobe xd', 'invision', 'prototyping tools', 'usability testing', 'information architecture', 'interaction design', 'a/b testing', 'heatmap analysis', 'accessibility standards (wcag)', 'design systems', 'empathy', 'communication']"
17,UI Designer,Technology,Bachelor,Design,1,"['Adobe XD', 'Typography', 'Color Theory', 'Figma', 'Sketch', 'Photoshop', 'Illustrator', 'Zeplin', 'InVision', 'Prototyping', 'Iconography', 'Layout principles', 'Responsive design', 'Micro-interactions', 'Design systems', 'Front-end development understanding (HTML/CSS)']","['Creativity', 'Attention to Detail']","['adobe xd', 'typography', 'color theory', 'figma', 'sketch', 'photoshop', 'illustrator', 'zeplin', 'invision', 'prototyping', 'iconography', 'layout principles', 'responsive design', 'micro-interactions', 'design systems', 'front-end development understanding (html/css)']","['creativity', 'attention to detail']","['adobe xd', 'typography', 'color theory', 'figma', 'sketch', 'photoshop', 'illustrator', 'zeplin', 'invision', 'prototyping', 'iconography', 'layout principles', 'responsive design', 'micro-interactions', 'design systems', 'front-end development understanding (html/css)', 'creativity', 'attention to detail']"
18,Product Manager (Tech),Technology,Master,Business,4,"['Agile methodology', 'Product Roadmapping', 'Market Research', 'SQL (for data analysis)', 'A/B Testing', 'User Story mapping', 'JIRA/Asana/Trello', 'Wireframing tools (e.g., Balsamiq)', 'Google Analytics/Amplitude (product analytics)', 'Financial modeling', 'Technical understanding of software development lifecycle', 'Scrum/Kanban']","['Leadership', 'Communication']","['agile methodology', 'product roadmapping', 'market research', 'sql (for data analysis)', 'a/b testing', 'user story mapping', 'jira/asana/trello', 'wireframing tools (e.g., balsamiq)', 'google analytics/amplitude (product analytics)', 'financial modeling', 'technical understanding of software development lifecycle', 'scrum/kanban']","['leadership', 'communication']","['agile methodology', 'product roadmapping', 'market research', 'sql (for data analysis)', 'a/b testing', 'user story mapping', 'jira/asana/trello', 'wireframing tools (e.g., balsamiq)', 'google analytics/amplitude (product analytics)', 'financial modeling', 'technical understanding of software development lifecycle', 'scrum/kanban', 'leadership', 'communication']"
19,Mobile App Developer,Technology,Bachelor,Computing,2,"['Swift', 'Kotlin', 'React Native', 'Objective-C', 'Java', 'Flutter', 'Xcode', 'Android Studio', 'RESTful APIs', 'Firebase', 'Push Notifications', 'Offline storage', 'UI/UX principles for mobile', 'Performance optimization', 'App store deployment']","['Problem-Solving', 'Adaptability']","['swift', 'kotlin', 'react native', 'objective-c', 'java', 'flutter', 'xcode', 'android studio', 'restful apis', 'firebase', 'push notifications', 'offline storage', 'ui/ux principles for mobile', 'performance optimization', 'app store deployment']","['problem-solving', 'adaptability']","['swift', 'kotlin', 'react native', 'objective-c', 'java', 'flutter', 'xcode', 'android studio', 'restful apis', 'firebase', 'push notifications', 'offline storage', 'ui/ux principles for mobile', 'performance optimization', 'app store deployment', 'problem-solving', 'adaptability']"
20,Embedded Systems Engineer,Technology,Bachelor,Engineering,3,"['C/C++', 'Microcontrollers', 'RTOS', 'Assembly language', 'Digital Signal Processing (DSP)', 'FPGA/VHDL/Verilog', 'PCB Design (Altium, Eagle)', 'Communication protocols (SPI, I2C, UART, Ethernet, CAN)', 'Sensor integration', 'Device drivers', 'Debugging tools (oscilloscopes, logic analyzers)', 'Firmware development']","['Attention to Detail', 'Analytical Thinking']","['c/c++', 'microcontrollers', 'rtos', 'assembly language', 'digital signal processing (dsp)', 'fpga/vhdl/verilog', 'pcb design (altium, eagle)', 'communication protocols (spi, i2c, uart, ethernet, can)', 'sensor integration', 'device drivers', 'debugging tools (oscilloscopes, logic analyzers)', 'firmware development']","['attention to detail', 'analytical thinking']","['c/c++', 'microcontrollers', 'rtos', 'assembly language', 'digital signal processing (dsp)', 'fpga/vhdl/verilog', 'pcb design (altium, eagle)', 'communication protocols (spi, i2c, uart, ethernet, can)', 'sensor integration', 'device drivers', 'debugging tools (oscilloscopes, logic analyzers)', 'firmware development', 'attention to detail', 'analytical thinking']"
21,Financial Analyst,Finance,Bachelor,Business,2,"['Excel', 'Financial Modeling', 'Data Analysis', 'VBA (for Excel automation)', 'Bloomberg Terminal', 'Reuters Eikon', 'SQL', 'PowerPoint', 'Financial reporting standards (IFRS, GAAP)', 'Valuation techniques', 'Statistical software (R, Python with financial libraries)', 'Business Intelligence tools (Tableau, Power BI)']","['Analytical Thinking', 'Communication']","['excel', 'financial modeling', 'data analysis', 'vba (for excel automation)', 'bloomberg terminal', 'reuters eikon', 'sql', 'powerpoint', 'financial reporting standards (ifrs, gaap)', 'valuation techniques', 'statistical software (r, python with financial libraries)', 'business intelligence tools (tableau, power bi)']","['analytical thinking', 'communication']","['excel', 'financial modeling', 'data analysis', 'vba (for excel automation)', 'bloomberg terminal', 'reuters eikon', 'sql', 'powerpoint', 'financial reporting standards (ifrs, gaap)', 'valuation techniques', 'statistical software (r, python with financial libraries)', 'business intelligence tools (tableau, power bi)', 'analytical thinking', 'communication']"
22,Investment Banker,Finance,Master,Business,3,"['Financial Modeling', 'Valuation', 'M&A', 'DCF (Discounted Cash Flow) analysis', 'Comparable Company Analysis (CCA)', 'Precedent Transaction Analysis (PTA)', 'LBO (Leveraged Buyout) modeling', 'Pitchbook creation', 'Capital Markets knowledge (Equity/Debt)', 'Advanced Excel functions', 'Bloomberg Terminal', 'Legal documentation review']","['Negotiation', 'Attention to Detail']","['financial modeling', 'valuation', 'm&a', 'dcf (discounted cash flow) analysis', 'comparable company analysis (cca)', 'precedent transaction analysis (pta)', 'lbo (leveraged buyout) modeling', 'pitchbook creation', 'capital markets knowledge (equity/debt)', 'advanced excel functions', 'bloomberg terminal', 'legal documentation review']","['negotiation', 'attention to detail']","['financial modeling', 'valuation', 'm&a', 'dcf (discounted cash flow) analysis', 'comparable company analysis (cca)', 'precedent transaction analysis (pta)', 'lbo (leveraged buyout) modeling', 'pitchbook creation', 'capital markets knowledge (equity/debt)', 'advanced excel functions', 'bloomberg terminal', 'legal documentation review', 'negotiation', 'attention to detail']"
23,Management Consultant,Finance,Master,Business,3,"['Strategic Planning', 'Market Analysis', 'Project Management', 'Data Analysis (Excel, potentially SQL/Python for larger datasets)', 'Presentation software (PowerPoint, Keynote)', 'Financial analysis', 'Process mapping', 'Change Management frameworks', 'Business Case Development', 'Risk Assessment', 'Industry-specific knowledge']","['Problem-Solving', 'Communication']","['strategic planning', 'market analysis', 'project management', 'data analysis (excel, potentially sql/python for larger datasets)', 'presentation software (powerpoint, keynote)', 'financial analysis', 'process mapping', 'change management frameworks', 'business case development', 'risk assessment', 'industry-specific knowledge']","['problem-solving', 'communication']","['strategic planning', 'market analysis', 'project management', 'data analysis (excel, potentially sql/python for larger datasets)', 'presentation software (powerpoint, keynote)', 'financial analysis', 'process mapping', 'change management frameworks', 'business case development', 'risk assessment', 'industry-specific knowledge', 'problem-solving', 'communication']"
24,Auditor,Finance,Bachelor,Business,2,"['Accounting', 'Risk Assessment', 'Audit Software', 'GAAP/IFRS', 'Sarbanes-Oxley (SOX) compliance', 'Data Analytics tools (ACL, IDEA)', 'ERP systems (SAP, Oracle)', 'Internal controls', 'Forensic accounting', 'IT audit principles', 'Data extraction and manipulation']","['Attention to Detail', 'Integrity']","['accounting', 'risk assessment', 'audit software', 'gaap/ifrs', 'sarbanes-oxley (sox) compliance', 'data analytics tools (acl, idea)', 'erp systems (sap, oracle)', 'internal controls', 'forensic accounting', 'it audit principles', 'data extraction and manipulation']","['attention to detail', 'integrity']","['accounting', 'risk assessment', 'audit software', 'gaap/ifrs', 'sarbanes-oxley (sox) compliance', 'data analytics tools (acl, idea)', 'erp systems (sap, oracle)', 'internal controls', 'forensic accounting', 'it audit principles', 'data extraction and manipulation', 'attention to detail', 'integrity']"
25,Accountant,Finance,Bachelor,Business,1,"['Bookkeeping', 'Tax Preparation', 'Financial Reporting', 'QuickBooks', 'SAP', 'Oracle Financials', 'GAAP/IFRS', 'Payroll processing', 'Budgeting', 'Forensic accounting', 'Microsoft Office Suite (Word, Outlook)', 'Data entry accuracy', 'Account reconciliation']","['Accuracy', 'Organization']","['bookkeeping', 'tax preparation', 'financial reporting', 'quickbooks', 'sap', 'oracle financials', 'gaap/ifrs', 'payroll processing', 'budgeting', 'forensic accounting', 'microsoft office suite (word, outlook)', 'data entry accuracy', 'account reconciliation']","['accuracy', 'organization']","['bookkeeping', 'tax preparation', 'financial reporting', 'quickbooks', 'sap', 'oracle financials', 'gaap/ifrs', 'payroll processing', 'budgeting', 'forensic accounting', 'microsoft office suite (word, outlook)', 'data entry accuracy', 'account reconciliation', 'accuracy', 'organization']"
26,Risk Analyst,Finance,Bachelor,Business,2,"['Risk Modeling', 'Data Analysis', 'Statistics', 'SQL', 'Python/R (for statistical analysis and modeling)', 'Regulatory frameworks (Basel III, Solvency II)', 'Stress testing', 'Scenario analysis', 'Portfolio risk management', 'VaR (Value at Risk) calculation', 'Financial instruments knowledge']","['Critical Thinking', 'Attention to Detail']","['risk modeling', 'data analysis', 'statistics', 'sql', 'python/r (for statistical analysis and modeling)', 'regulatory frameworks (basel iii, solvency ii)', 'stress testing', 'scenario analysis', 'portfolio risk management', 'var (value at risk) calculation', 'financial instruments knowledge']","['critical thinking', 'attention to detail']","['risk modeling', 'data analysis', 'statistics', 'sql', 'python/r (for statistical analysis and modeling)', 'regulatory frameworks (basel iii, solvency ii)', 'stress testing', 'scenario analysis', 'portfolio risk management', 'var (value at risk) calculation', 'financial instruments knowledge', 'critical thinking', 'attention to detail']"
27,Actuary,Finance,Master,Science,3,"['Statistical Modeling', 'Probability', 'Financial Mathematics', 'R/Python', 'SAS', 'Excel VBA', 'SQL', 'Advanced calculus', 'Life contingencies', 'P&C (Property & Casualty) insurance principles', 'Enterprise Risk Management (ERM)', 'Predictive analytics', 'Stochastic modeling', 'Regulatory compliance for insurance/pensions']","['Analytical Thinking', 'Problem-Solving']","['statistical modeling', 'probability', 'financial mathematics', 'r/python', 'sas', 'excel vba', 'sql', 'advanced calculus', 'life contingencies', 'p&c (property & casualty) insurance principles', 'enterprise risk management (erm)', 'predictive analytics', 'stochastic modeling', 'regulatory compliance for insurance/pensions']","['analytical thinking', 'problem-solving']","['statistical modeling', 'probability', 'financial mathematics', 'r/python', 'sas', 'excel vba', 'sql', 'advanced calculus', 'life contingencies', 'p&c (property & casualty) insurance principles', 'enterprise risk management (erm)', 'predictive analytics', 'stochastic modeling', 'regulatory compliance for insurance/pensions', 'analytical thinking', 'problem-solving']"
28,Tax Consultant,Finance,Bachelor,Business,2,"['Tax Law', 'Financial Planning', 'Compliance', 'Tax software (e.g., UltraTax, CCH Axcess)', 'Financial statement analysis', 'Tax research databases (e.g., BNA, RIA Checkpoint)', 'Excel (advanced functions, pivot tables)', 'Accounting principles', 'IRS regulations']","['Communication', 'Attention to Detail']","['tax law', 'financial planning', 'compliance', 'tax software (e.g., ultratax, cch axcess)', 'financial statement analysis', 'tax research databases (e.g., bna, ria checkpoint)', 'excel (advanced functions, pivot tables)', 'accounting principles', 'irs regulations']","['communication', 'attention to detail']","['tax law', 'financial planning', 'compliance', 'tax software (e.g., ultratax, cch axcess)', 'financial statement analysis', 'tax research databases (e.g., bna, ria checkpoint)', 'excel (advanced functions, pivot tables)', 'accounting principles', 'irs regulations', 'communication', 'attention to detail']"
29,Corporate Lawyer,Law and Government,Master,Arts and Social Sciences,4,"['Contract Law', 'Corporate Governance', 'Legal Research', 'Due Diligence', 'Mergers & Acquisitions (M&A) legal aspects', 'Securities Law', 'Compliance regulations', 'Drafting legal documents (contracts, agreements)', 'Negotiation', 'LexisNexis/Westlaw (legal research platforms)']","['Negotiation', 'Critical Thinking']","['contract law', 'corporate governance', 'legal research', 'due diligence', 'mergers & acquisitions (m&a) legal aspects', 'securities law', 'compliance regulations', 'drafting legal documents (contracts, agreements)', 'negotiation', 'lexisnexis/westlaw (legal research platforms)']","['negotiation', 'critical thinking']","['contract law', 'corporate governance', 'legal research', 'due diligence', 'mergers & acquisitions (m&a) legal aspects', 'securities law', 'compliance regulations', 'drafting legal documents (contracts, agreements)', 'negotiation', 'lexisnexis/westlaw (legal research platforms)', 'negotiation', 'critical thinking']"
30,Compliance Officer,Law and Government,Bachelor,Business,2,"['Regulatory Compliance', 'Risk Management', 'Auditing', 'Policy Development', 'Internal Controls', 'Fraud Detection', 'Data Privacy Regulations (e.g., GDPR, CCPA)', 'Investigation techniques', 'Compliance software']","['Attention to Detail', 'Integrity']","['regulatory compliance', 'risk management', 'auditing', 'policy development', 'internal controls', 'fraud detection', 'data privacy regulations (e.g., gdpr, ccpa)', 'investigation techniques', 'compliance software']","['attention to detail', 'integrity']","['regulatory compliance', 'risk management', 'auditing', 'policy development', 'internal controls', 'fraud detection', 'data privacy regulations (e.g., gdpr, ccpa)', 'investigation techniques', 'compliance software', 'attention to detail', 'integrity']"
31,Business Development Manager,Business,Bachelor,Business,3,"['Market Research', 'Sales Strategies', 'CRM', 'Sales Forecasting', 'Lead Generation', 'Proposal Writing', 'Contract Negotiation', 'Financial Acumen', 'Presentation Skills (PowerPoint, Keynote)', 'Salesforce or similar CRM software']","['Negotiation', 'Communication']","['market research', 'sales strategies', 'crm', 'sales forecasting', 'lead generation', 'proposal writing', 'contract negotiation', 'financial acumen', 'presentation skills (powerpoint, keynote)', 'salesforce or similar crm software']","['negotiation', 'communication']","['market research', 'sales strategies', 'crm', 'sales forecasting', 'lead generation', 'proposal writing', 'contract negotiation', 'financial acumen', 'presentation skills (powerpoint, keynote)', 'salesforce or similar crm software', 'negotiation', 'communication']"
32,Marketing Analyst,Retail and Sales,Bachelor,Business,1,"['Data Analysis', 'SEO', 'Google Analytics', 'A/B Testing', 'Market Segmentation', 'Statistical Software (e.g., R, Python with Pandas)', 'SQL', 'CRM analytics', 'Campaign Performance Tracking', 'Data Visualization (Tableau, Power BI)']","['Creativity', 'Communication']","['data analysis', 'seo', 'google analytics', 'a/b testing', 'market segmentation', 'statistical software (e.g., r, python with pandas)', 'sql', 'crm analytics', 'campaign performance tracking', 'data visualization (tableau, power bi)']","['creativity', 'communication']","['data analysis', 'seo', 'google analytics', 'a/b testing', 'market segmentation', 'statistical software (e.g., r, python with pandas)', 'sql', 'crm analytics', 'campaign performance tracking', 'data visualization (tableau, power bi)', 'creativity', 'communication']"
